timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1571727882078,141,Access Detail Movie,200,OK,Thread Group 1-20,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,141,0,117
1571727881892,328,Access Detail Movie,200,OK,Thread Group 1-7,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,328,0,298
1571727881892,329,Access Detail Movie,200,OK,Thread Group 1-5,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,326,0,305
1571727882100,121,Access Detail Movie,200,OK,Thread Group 1-21,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,121,0,90
1571727881894,327,Access Detail Movie,200,OK,Thread Group 1-1,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,327,0,302
1571727881894,328,Access Detail Movie,200,OK,Thread Group 1-8,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,327,0,296
1571727881893,329,Access Detail Movie,200,OK,Thread Group 1-3,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,329,0,297
1571727881960,262,Access Detail Movie,200,OK,Thread Group 1-14,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,259,0,230
1571727882060,162,Access Detail Movie,200,OK,Thread Group 1-19,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,159,0,130
1571727881919,303,Access Detail Movie,200,OK,Thread Group 1-12,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,303,0,278
1571727881897,323,Access Detail Movie,200,OK,Thread Group 1-6,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,321,0,300
1571727882137,86,Access Detail Movie,200,OK,Thread Group 1-23,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,81,0,60
1571727881998,221,Access Detail Movie,200,OK,Thread Group 1-16,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,220,0,199
1571727882017,206,Access Detail Movie,200,OK,Thread Group 1-17,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,205,0,179
1571727882036,187,Access Detail Movie,200,OK,Thread Group 1-18,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,184,0,154
1571727881896,322,Access Detail Movie,200,OK,Thread Group 1-11,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,322,0,294
1571727881893,326,Access Detail Movie,200,OK,Thread Group 1-9,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,325,0,304
1571727881897,321,Access Detail Movie,200,OK,Thread Group 1-10,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,321,0,299
1571727881935,284,Access Detail Movie,200,OK,Thread Group 1-13,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,283,0,255
1571727882158,65,Access Detail Movie,200,OK,Thread Group 1-24,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,60,0,40
1571727881974,249,Access Detail Movie,200,OK,Thread Group 1-15,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,247,0,221
1571727882180,44,Access Detail Movie,200,OK,Thread Group 1-25,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,38,0,17
1571727881893,327,Access Detail Movie,200,OK,Thread Group 1-4,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,325,0,297
1571727881894,326,Access Detail Movie,200,OK,Thread Group 1-2,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,326,0,303
1571727882115,105,Access Detail Movie,200,OK,Thread Group 1-22,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,103,0,75
1571727882195,33,Access Detail Movie,200,OK,Thread Group 1-26,text,true,,7928,264,27,27,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,27,0,12
1571727882217,30,Access Detail Movie,200,OK,Thread Group 1-27,text,true,,7928,264,2,2,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,22,0,11
1571727882236,15,Access Detail Movie,200,OK,Thread Group 1-28,text,true,,7928,264,1,1,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,13,0,8
1571727882257,10,Access Detail Movie,200,OK,Thread Group 1-29,text,true,,7928,264,1,1,http://d14wdxcnxzp6hb.cloudfront.net/movie/2c069188-1996-4808-80d1-03235c3e05d2,9,0,4
